source_key_ko,source_key_target,target_language,score,confidence,dist_m,title_ko,title_target,link_method
AttractionService:2095:ko,AttractionService:2095:zht,zht,100,high,0,"송정 구덕포길(한,영,중간,중번,일)",海雲臺不為人知的寶藏景點「松亭九德浦路」,same_id
AttractionService:2102:ko,AttractionService:2102:zht,zht,100,high,0,"망양로 산복도로 전시관(한,영,중간,중번,일)",完整呈現山腹道路歷史的「望洋路山腹道路展覽館」,same_id
AttractionService:2104:ko,AttractionService:2104:zht,zht,100,high,0,"닥밭골 벽화마을(한,영,중간,중번,일)",各種色彩結合而成的「楮田谷壁畫村」,same_id
AttractionService:2105:ko,AttractionService:2105:zht,zht,100,high,0,"대청스카이전망대(한,영,중간,중번,일)",能俯瞰釜山的景點，「大廳SKY觀景臺」,same_id
AttractionService:2106:ko,AttractionService:2106:zht,zht,100,high,0,"색채마을(한,영,중간,중번,일)",讓望洋路充滿五彩繽紛的活力，「色彩村」,same_id
AttractionService:2119:ko,AttractionService:2119:zht,zht,100,high,0,"뮤직컴플렉스 서울 부산점(한,영,중간,중번,일)",噗通跳入2萬張黑膠唱片之中！Music Complex Seoul釜山店,same_id
AttractionService:2121:ko,AttractionService:2121:zht,zht,100,high,0,"누리마루 APEC하우스 (한,영,중간,중번,일)",在璀璨夜景之中散步，APEC世峰樓,same_id
AttractionService:2133:ko,AttractionService:2133:zht,zht,100,high,0,"용호 별빛공원(한,영,중간,중번,일)",白天夜晚都特別！散步好去處「龍湖星光公園」,same_id
AttractionService:2138:ko,AttractionService:2138:zht,zht,100,high,0,"부산 워케이션 거점센터(한,영,중간,중번,일)",辦公度假者聖地「釜山辦公度假據點中心」,same_id
AttractionService:2139:ko,AttractionService:2139:zht,zht,100,high,0,"더휴일X데스커 워케이션 센터(한,영,중간,중번,일)",工作休息一石二鳥！「The Hyuil x Desker辦公度假中心」,same_id
AttractionService:2140:ko,AttractionService:2140:zht,zht,100,high,0,"씨씨윗북 북스토어(한,영,중간,중번,일)",眺望影島海景，同時工作與休息的寧靜感性「See Sea With Book」,same_id
AttractionService:2143:ko,AttractionService:2143:zht,zht,100,high,0,"패스파인더 남포점(한,영,중간,중번,일)",「開拓全新未來的好夥伴」Pathfinder南浦店,same_id
AttractionService:2145:ko,AttractionService:2145:zht,zht,100,high,0,"도모헌(한,영,중간,중번,일)",帶有一同「謀求」釜山未來之意的空間「圖謀軒」,same_id
AttractionService:2153:ko,AttractionService:2153:zht,zht,100,high,0,"동삼동패총전시관(한,영,중간,중번,일)",遇見新石器時代的影島「東三洞貝塚展覽館」,same_id
AttractionService:2155:ko,AttractionService:2155:zht,zht,100,high,0,"부산시민공원 역사문화관(한,영,중간,중번,일)",Hialeah部隊的一切，釜山市民公園歷史文化館,same_id
AttractionService:2157:ko,AttractionService:2157:zht,zht,100,high,0,"다대포 바다누리길(한,영,중간,중번,일)",在寧靜海灘療癒散步「多大浦世界路」,same_id
AttractionService:2166:ko,AttractionService:2166:zht,zht,100,high,0,"광안리 골방(한,영,중간,중번,일)",想在音樂的陪伴下獨飲時的好選擇「廣安里裡屋」,same_id
AttractionService:2172:ko,AttractionService:2172:zht,zht,100,high,0,"오시리아 해안 산책로(한,영,중간,중번,일)",優美大自然與傳說所在的「五侍利亞海岸步道」,same_id
AttractionService:2173:ko,AttractionService:2173:zht,zht,100,high,0,"홍티아트센터(한,영,중간,중번,일)",帶領當地藝術發展的空間「虹峙藝術中心」,same_id
AttractionService:2186:ko,AttractionService:2186:zht,zht,100,high,0,"일광 광산마을(한,영,중간,중번,일)",優美自然與傷痛歷史匯集之地「日光礦山村」,same_id
AttractionService:2187:ko,AttractionService:2187:zht,zht,100,high,0," 부산항 제 1부두(한,영,중간,중번,일)",連接過去痕跡與未來的交叉點「釜山港第一碼頭」,same_id
AttractionService:2188:ko,AttractionService:2188:zht,zht,100,high,0,"유엔평화기념관(한,영,중간,중번,일)",UN的奉獻與和平之約「UN和平紀念館」,same_id
AttractionService:2189:ko,AttractionService:2189:zht,zht,100,high,0,"명지 철새 탐조대(한,영,중간,중번,일)",遇見冬季候鳥之美的「鳴旨候鳥觀鳥臺」,same_id
AttractionService:2191:ko,AttractionService:2191:zht,zht,100,high,0,"포디움다이브엠(한,영,중간,중번,일)",新興文化場所，廣安里「Podium Dive M」,same_id
