kto_canonical_key,busan_canonical_key,dist_m,sim,title_kto,title_busan,category_busan,ct_kto
KorService2:2753006:ko,AttractionService:265:ko,136,0,어느멋진날,"부산바다의 과거와 현재, 일광해수욕장",attraction,39
KorService2:2834026:ko,FoodService:1598:ko,136,0,갤러리이알디 부산,팔레드신,food,14
KorService2:2836405:ko,FoodService:1135:ko,136,0,신기숲,영도우,food,39
KorService2:2869196:ko,FoodService:1509:ko,136,0,마파람해물찜해물탕 구서본점,면채움,food,39
KorService2:3336600:ko,FoodService:1496:ko,136,0,고래서이뻐,나가하마만게츠,food,38
KorService2:129725:ko,AttractionService:276:ko,137,0.125,부산문화회관,부산박물관,attraction,14
KorService2:850093:ko,FoodService:1275:ko,137,0,급행장,장어촌,food,39
KorService2:2606221:ko,AttractionService:2140:ko,137,0,영도 흰여울해안터널,"씨씨윗북 북스토어(한,영,중간,중번,일)",attraction,12
KorService2:2999905:ko,FoodService:1437:ko,137,0,플루니티,청해수산,food,12
KorService2:3006246:ko,AttractionService:276:ko,137,0.083,부산국제공연예술마켓,부산박물관,attraction,15
KorService2:849929:ko,FoodService:933:ko,138,0,가야할매 밀면,옻바다전복삼계탕,food,39
KorService2:2705418:ko,FoodService:1586:ko,138,0,해운대 영무파라드호텔,남풍,food,32
KorService2:2705418:ko,FoodService:1592:ko,138,0,해운대 영무파라드호텔,사까에,food,32
KorService2:2775543:ko,FoodService:1808:ko,138,0,탐복,올바릇식당 본점,food,39
KorService2:2784330:ko,FoodService:1596:ko,138,0,미포항,율링,food,12
KorService2:2784330:ko,FoodService:1609:ko,138,0,미포항,박옥희할매집원조복국,food,12
KorService2:2789451:ko,FoodService:1265:ko,138,0,깃발집 국수전골,미미루,food,39
KorService2:2789451:ko,FoodService:1555:ko,138,0,깃발집 국수전골,미미루,food,39
KorService2:2816102:ko,FoodService:214:ko,138,0,그레이193호텔,광안리신라횟집,food,32
KorService2:2836450:ko,AttractionService:1444:ko,138,0,이재모피자 본점,"부산근현대역사관 별관(한,영,중간,중번,일)",attraction,39
KorService2:2891826:ko,FoodService:1477:ko,138,0,맘보식당,어밤부,food,39
KorService2:1013721:ko,FoodService:1237:ko,139,0,조명의거리,삼송초밥 부산남포본점,food,38
KorService2:3532572:ko,AttractionService:280:ko,139,0.077,송정담다펜션,"송정해수욕장, 죽도공원",attraction,32
KorService2:3533137:ko,FoodService:1637:ko,139,0,베를리너 하우스,히떼로스터리,food,32
KorService2:3533137:ko,FoodService:2386:ko,139,0,베를리너 하우스,히떼로스터리 전포점,food,32
KorService2:986063:ko,FoodService:2345:ko,140,0,남포동건어물도매시장,1969부원동칼국수 부산본점,food,38
KorService2:2456837:ko,AttractionService:362:ko,140,0,부산 영화의 전당,APEC나루공원,attraction,12
KorService2:2708667:ko,FoodService:1237:ko,140,0.059,호텔포레 프리미어 남포,삼송초밥 부산남포본점,food,32
KorService2:2760773:ko,FoodService:190:ko,140,0,해운대기와집대구탕,할매복국,food,39
KorService2:2763856:ko,FoodService:2349:ko,140,0.125,놀이마루,야스마루 닌니쿠,food,14
KorService2:2776396:ko,FoodService:1804:ko,140,0,무진장횟집,고향연화,food,39
KorService2:2778487:ko,FoodService:1534:ko,140,0,금수복국 해운대본점,부다면옥,food,39
KorService2:2778487:ko,FoodService:1550:ko,140,0,금수복국 해운대본점,부다면옥,food,39
KorService2:2858936:ko,FoodService:190:ko,140,0,해운대하얀오징어집,할매복국,food,39
KorService2:2865975:ko,FoodService:87:ko,140,0,스페이스앤무드,사미헌,food,39
