source_key,title,category,lat,lng,address,has_image,has_desc,comparison_result,ref_match
KorService2:849929:ko,가야할매 밀면,,35.1851949389,129.0798725132,부산광역시 연제구 월드컵대로145번길 32,false,false,new_candidate,
KorService2:1935608:ko,가톨릭 특성화 거리,,35.2434553947,129.097038863,부산광역시 금정구 부곡동,true,false,new_candidate,
KorService2:2785289:ko,감지해변,,35.0625336062,129.0764900502,부산광역시 영도구 감지길 110,false,false,new_candidate,
KorService2:294452:ko,감천사(부산),,35.1833036953,129.0912632411,부산광역시 연제구 묘봉산로 40,true,false,new_candidate,
KorService2:2869158:ko,감포참가자미,,35.1383498379,129.0610587668,부산광역시 동구 범일로102번길 16-20 (범일동),true,false,new_candidate,
KorService2:2872626:ko,강호중마라도물회,,35.1120076519,128.8722536946,부산광역시 강서구 녹산화전로 283 (녹산동),true,false,new_candidate,
KorService2:2784321:ko,개금밀면,,35.15258647,129.0251059496,부산광역시 부산진구 가야대로482번길 9-4,true,false,new_candidate,
KorService2:2834026:ko,갤러리이알디 부산,,35.1610686425,129.1639936365,"부산광역시 해운대구 해운대해변로 302 (중동, 대림맨션)",true,false,new_candidate,
KorService2:2760771:ko,거대갈비,,35.162068591,129.1672794347,부산광역시 해운대구 달맞이길 22 (중동),true,false,new_candidate,
KorService2:2904908:ko,거대곰탕,,35.1584047875,129.1497310611,부산광역시 해운대구 해운대해변로 163 현대베네시티아파트,true,false,new_candidate,
KorService2:2867215:ko,거창맷돌순두부,,35.1306125441,129.1005555434,부산광역시 남구 유엔로 221 (대연동),true,false,new_candidate,
KorService2:3422647:ko,게임 체험 팝업 전시 ‘Game-Playground’,,35.1504883662,129.1151037338,"부산광역시 수영구 광남로 96 (광안동, 광안 포디움프레스티지 1)",true,false,new_candidate,
KorService2:129631:ko,경상좌수영성지,,35.1743106361,129.1117117085,부산광역시 수영구 수영성로 43,true,false,new_candidate,
KorService2:2838907:ko,고관함박,,35.1270313878,129.0462742511,부산광역시 동구 중앙대로349번길 14 (수정동),true,false,new_candidate,
KorService2:3336600:ko,고래서이뻐,,35.1657319056,129.1583856629,부산광역시 해운대구 우동1로38번길 15-1 (우동),false,false,new_candidate,
KorService2:2785272:ko,고향연화,,35.2172384782,129.2245979306,부산광역시 기장군 기장읍 연화길 33-8,true,false,new_candidate,
EngService2:2401023:en,168 Stairs (168계단),,35.1171295181,129.0353643591,"9, Yeongcho-gil 197beon-gil, Dong-gu, Busan",true,false,new_candidate,
EngService2:1000428:en,40-step Culture & Tourism Theme Street (40계단 문화관광테마거리),,35.1040698693,129.0354119335,"Area of 40gyedan-gil, Jungang-gu, Jung-gu, Busan",true,false,new_candidate,
EngService2:2946941:en,AREA6 (AREA6),,35.0929212578,129.0430615725,"37-3, Taejong-ro 105beon-gil, Yeongdo-gu, Busan",false,false,new_candidate,
EngService2:2947858:en,Ahopsan Forest (아홉산숲),,35.2871407693,129.1715589466,"37-1 Midong-gil, Gijang-gun, Busan",true,false,new_candidate,
EngService2:2710588:en,Almond Hotel (아몬드호텔),,35.113810543,129.0406862085,"12-5 , Jungang-daero 196beon-gil, Dong-gu, Busan",true,false,new_candidate,
EngService2:2947925:en,Amisan Observatory (아미산 전망대),,35.0528020123,128.9607725966,"77 , Dadaenakjo 2-gil, Saha-gu, Busan",false,false,new_candidate,
EngService2:264385:en,Amnam Park (부산 암남공원),,35.0616492424,129.0151037432,"185, Amnamgongwon-ro, Seo-gu, Busan",false,false,new_candidate,
EngService2:335473:en,Amnam-Park (암남공원),,35.0567386839,129.0152705288,,false,false,new_candidate,
EngService2:3516784:en,B-Con Ground (비콘그라운드),,35.1719386413,129.1096508423,"49-1 Mangmibeonyeong-ro, Suyeong-gu, Busan",true,false,new_candidate,
EngService2:3547900:en,BASE DERMATOLOGY CLINIC (베이스피부과의원),,35.1667063162,129.1324795555,"#203-#204, Centum Diamond Building, 24 Centum 2-ro, Haeundae-gu, Busan",false,false,new_candidate,
EngService2:1079482:en,BEXCO (벡스코),,35.1691116738,129.1363347095,"55, APEC-ro, Haeundae-gu, Busan",true,false,new_candidate,
EngService2:3366754:en,BGN Eye Hospital (밝은눈안과병원),,35.1579502424,129.0514007375,"729 Gaya-daero, Busanjin-gu, Busan",false,false,new_candidate,
EngService2:3539987:en,Barog Clinic (Deokcheon) (바로그의원 (덕천)),,35.2104991059,129.0077919845,"4th Floor, 24 Mandeok-daero, Buk-gu, Busan",false,false,new_candidate,
EngService2:2814665:en,Baymond Hotel (베이몬드호텔),,35.1595992286,129.1567804158,"27 , Haeundaehaebyeon-ro 209beonga-gil, Haeundae-gu, Busan",true,false,new_candidate,
EngService2:2542365:en,Bcent Hotel (비센트호텔),,35.1108108531,129.0393058555,"64 , Chungjang-daero 9beon-gil, Jung-gu, Busan",true,false,new_candidate,
EngService2:2597170:en,Beach Motel (비치모텔),,35.0692440569,129.0813283358,"10-9 , Harihaean-gil, Yeongdo-gu, Busan",true,false,new_candidate,
EngService2:3019795:en,Blue Story Hotel (블루스토리 호텔),,35.1599464255,129.1575108976,"11 Haeundaehaebyeon-ro 237beon-gil, Haeundae-gu, Busan",true,false,matched_busan_ts,busan.ts:Busan
EngService2:1973370:en,Bosu-dong Book Street Cultural Center(보수동 책방골목 문화관),,35.1037975381,129.0278431547,"8, Chaekbanggolmok-gil, Jung-gu, Busan",true,false,new_candidate,
EngService2:3365841:en,Busan Adventist Hospital (삼육부산병원),,35.1125518126,129.0115082254,"(Seodaesin-dong 2(i)-ga),170 Daeti-ro, Seo-gu, Busan",false,false,new_candidate,
EngService2:3466909:en,Busan BGSS Eye Clinic (부산밝은세상안과),,35.1572448908,129.0581557245,"8F-11F, 74 Seomyeon-ro, Busanjin-gu, Busan",false,false,new_candidate,
