canonical_id,canonical_key,status,category,source_service,lang_count,member_count,languages,kto_merges,title_ko,address,district,latitude,longitude,image_url,venue,event_period_raw
busan-A-00058,AttractionService:359:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"봉래산(한,영,중간,중번,일)",부산광역시 영도구 신선동3가 산3,영도구,35.08219,129.05524,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202829011_ttiel,,
busan-A-00059,AttractionService:361:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,영화의 거리,부산광역시 해운대구 마린시티1로 91,해운대구,35.154633,129.14278,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227203859552_ttiel,,
busan-A-00060,AttractionService:362:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,APEC나루공원,부산광역시 해운대구 수영강변대로 85,해운대구,35.170307,129.12564,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227204420832_ttiel,,
busan-A-00061,AttractionService:364:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"40계단, 문화관",부산광역시 중구 동광길49,중구,35.103977,129.0346,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229141716592_ttiel,,
busan-A-00062,AttractionService:365:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,감천문화마을,부산광역시 사하구 감내2로 203,사하구,35.095787,129.00926,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229142305006_ttiel,,
busan-A-00063,AttractionService:366:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,다대포 해수욕장,부산광역시 사하구 몰운대1길 14,사하구,35.04652,128.96283,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229143230630_ttiel,,
busan-A-00064,AttractionService:367:ko,same_place,attraction,AttractionService,5,6,ko|en|ja|zhs|zht,KorService2:2554068:ko,부산영화체험박물관/씨네뮤지엄,부산광역시 중구 대청로126번길 12,중구,35.101692,129.0337,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_ttiel,,
busan-A-00065,AttractionService:368:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"용두산공원(한,영,중간,중번,일)",부산광역시 중구 용두산길 37-55,중구,35.100723,129.03264,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229145728609_ttiel,,
busan-A-00066,AttractionService:369:ko,same_place,attraction,AttractionService,5,6,ko|en|ja|zhs|zht,KorService2:1942553:ko,영도다리,부산광역시 영도구 태종로 46,영도구,35.095295,129.03656,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150331682_ttiel,,
busan-A-00067,AttractionService:370:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"중앙공원, 민주공원",중앙공원 부산광역시 서구 망양로 193번길 187 민주공원 부산광역시 중구 민주공원길 19,중구,35.112125,129.02792,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150845004_ttiel,,
busan-A-00068,AttractionService:371:ko,same_place,attraction,AttractionService,6,7,ko|en|ja|zhs|zht|en,KorService2:128290:ko,"황령산 전망쉼터(한,영,중간,중번,일)",부산광역시 남구 황령산로 391-39,남구,35.158115,129.08269,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229151710512_ttiel,,
busan-A-00069,AttractionService:372:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,F1963,부산광역시 수영구 구락로123번길 20,수영구,35.176933,129.11496,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229152254942_ttiel,,
busan-A-00070,AttractionService:373:ko,same_place,attraction,AttractionService,6,7,ko|en|ja|zhs|zht|en,KorService2:127004:ko,해운대,부산광역시 해운대구 해운대해변로 264,해운대구,35.158474,129.15987,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229153530528_ttiel,,
busan-A-00071,AttractionService:377:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,광안리해수욕장,부산광역시 수영구 광안해변로 219,수영구,35.15318,129.11887,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229160529389_ttiel,,
busan-A-00072,AttractionService:396:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,금정산,부산광역시 금정구 금성동,금정구,35.280136,129.0512,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230180640227_ttiel,,
busan-A-00073,AttractionService:397:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,금강공원&식물원,부산 동래구 우장춘로 175-146 칠성암,동래구,35.22047,129.07494,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230181126685_ttiel,,
busan-A-00074,AttractionService:402:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"범어사 (한,영,중간,중번,일)",부산광역시 금정구 범어사로 250,금정구,35.283646,129.06854,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230190101989_ttiel,,
busan-A-00075,AttractionService:409:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,동래읍성,부산 동래구 명륜동 산48-2,동래구,35.20975,129.08997,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230194923757_ttiel,,
busan-A-00076,AttractionService:415:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,상해거리,부산광역시 동구 중앙대로179번길 1,동구,35.113808,129.03786,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230203235198_ttiel,,
busan-A-00077,AttractionService:418:ko,busan_confirmed,attraction,AttractionService,5,5,ko|en|ja|zhs|zht,,"이중섭문화거리(한,영,중간,중번,일)",부산광역시 동구 증산로 168,동구,35.14069,129.05289,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205059771_ttiel,,
