candidate_id,restaurant_name,image_url,http_status,mime_type,file_size_bytes,width,height,technical_status,visual_inspection_status,final_recommendation,decision_reason
busan-F-00056,방코,https://www.visitbusan.net/uploadImgs/files/cntnts/20240415163345618_ttiel,200,image/jpeg,101598,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 101598B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00057,구포촌국수,https://www.visitbusan.net/uploadImgs/files/cntnts/20240415175213819_ttiel,200,image/jpeg,70666,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 70666B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00058,얼크니손칼국수,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819144753937_ttiel,200,image/jpeg,63062,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 63062B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00059,탐복,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416144911943_ttiel,200,image/jpeg,107129,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 107129B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00060,곤국,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819150211450_ttiel,200,image/jpeg,93253,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 93253B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00061,다이닝센 부산본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820090928003_ttiel,200,image/png,1489029,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + PNG 확인 + 1489029B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00062,오륙도 가원,https://www.visitbusan.net/uploadImgs/files/cntnts/20230603134954264_ttiel,200,image/jpeg,93618,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 93618B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00063,해남식당 부산용호동W스퀘어점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818153601185_ttiel,200,image/jpeg,136668,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 136668B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00064,범일빈대떡,https://www.visitbusan.net/uploadImgs/files/cntnts/20250515155412591_ttiel,200,image/jpeg,124202,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 124202B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00065,금강만두,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607173727769_ttiel,200,image/jpeg,111062,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 111062B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
