candidate_id,title_ko,category,district,lat,lng,primary_source_type,primary_external_id,linked_source_keys,source_url,display_url,primary_image_url,image_count,image_status,rights_status,rights_basis,collected_at,provenance_file,provenance_commit
busan-A-00035,우장춘 기념관,attraction,동래구,35.213547,129.07202,busan_official_api,AttractionService:297:ko,AttractionService:297:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110901484_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00036,누리바라기전망대,attraction,서구,35.09092,129.02019,busan_official_api,AttractionService:298:ko,AttractionService:298:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226113720642_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00037,"최민식갤러리(한,영,중간,중번,일)",attraction,서구,35.09833,129.01472,busan_official_api,AttractionService:299:ko,AttractionService:299:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226115628787_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00038,수영사적공원,attraction,수영구,35.170967,129.1143,busan_official_api,AttractionService:301:ko,AttractionService:301:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132135171_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00039,부산기상관측소,attraction,중구,35.104973,129.03218,busan_official_api,AttractionService:302:ko,AttractionService:302:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132812226_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00040,"철새와 함께하는 아름다운 문화의 향연, 을숙도(한,영,중간,중번,일)",attraction,사하구,35.107143,128.94283,visitbusan_web,VisitBusanContent:attraction:304:ko,VisitBusanContent:attraction:304:ko|AttractionService:304:ko,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=304&lang_cd=ko,http://wetland.busan.go.kr,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226143325464_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T07:11:28.058Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00041,부산시청자미디어센터,attraction,해운대구,35.17255,129.1302,busan_official_api,AttractionService:308:ko,AttractionService:308:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226152407686_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00042,"구포어린이교통공원(한,영,중간,중번,일)",attraction,북구,35.200676,129.0009,busan_official_api,AttractionService:313:ko,AttractionService:313:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226182356876_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00043,부산솔로몬로파크,attraction,북구,35.200798,129.00198,busan_official_api,AttractionService:314:ko,AttractionService:314:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226183133502_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
busan-A-00044,부산어촌민속관,attraction,북구,35.234074,129.00859,busan_official_api,AttractionService:315:ko,AttractionService:315:ko,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226184130120_ttiel,1,image_sufficient,operational_assumed,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",2026-07-24T00:27:42.723Z,data/tourapi/candidates/busan/busan-integrated-candidates.csv,fe43388
