candidate_id,place_name,current_vb_image_url,matched_kto_contentid,replacement_kto_image_url,kto_license_type,match_method,match_confidence,replacement_status,decision_reason
busan-A-00058,"봉래산(한,영,중간,중번,일)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202829011_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00059,영화의 거리,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227203859552_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00060,APEC나루공원,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227204420832_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00061,"40계단, 문화관",https://www.visitbusan.net/uploadImgs/files/cntnts/20191229141716592_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00062,감천문화마을,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229142305006_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00063,다대포 해수욕장,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229143230630_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00064,부산영화체험박물관/씨네뮤지엄,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00065,"용두산공원(한,영,중간,중번,일)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191229145728609_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00066,영도다리,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150331682_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00067,"중앙공원, 민주공원",https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150845004_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00068,"황령산 전망쉼터(한,영,중간,중번,일)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191229151710512_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00069,F1963,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229152254942_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00070,해운대,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229153530528_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00071,광안리해수욕장,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229160529389_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00072,금정산,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230180640227_ttiel,126028,http://tong.visitkorea.or.kr/cms/resource/44/3575744_image2_1.jpg,kogl_1,method2_name_address,exact,auto_replace_candidate,장소명 일치(금정산) + 주소 일치(금정구금성동). KTO usable(kogl_1).
busan-A-00073,금강공원&식물원,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230181126685_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00074,"범어사 (한,영,중간,중번,일)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191230190101989_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00075,동래읍성,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230194923757_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00076,상해거리,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230203235198_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00077,"이중섭문화거리(한,영,중간,중번,일)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205059771_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
busan-A-00078,"복천박물관, 복천동고분군",https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205640434_ttiel,,,,no_match,unmatched,no_kto_match,장소명·주소·좌표 기반 KTO 대체 후보 없음.
