candidate_id,title_ko,category,image_status_21g,image_status_21h_rev2,status_changed,rights_status
busan-F-00007,가야할매밀면,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00008,국제밀면본점,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00009,할매가야밀면,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00010,거인통닭,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00011,김해식당,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00012,물꽁식당,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00013,부산명물횟집,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00014,부산꼼장어맛집 성일집,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00015,이재모피자 본점,restaurant,image_partial,image_sufficient,yes,operational_assumed
busan-F-00016,모모스커피,restaurant,image_partial,image_sufficient,yes,operational_assumed
