candidate_id,title_ko,primary_status,pg_high_count,pg_manual_count,best_pg_confidence,representative_photo_id,representative_photo_url,representative_title,selection_score,classification,reason
busan-A-00031,오랑대공원,review_required,1,0,high,2928407,https://tong.visitkorea.or.kr/cms/resource_photo/07/2928407_image2_1.jpg,오랑대공원,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00032,국립수산과학관,review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00033,요산문학관,review_required,1,0,high,2927481,https://tong.visitkorea.or.kr/cms/resource_photo/81/2927481_image2_1.jpg,요산문학관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00034,박차정의사 생가,review_required,1,0,high,2928426,https://tong.visitkorea.or.kr/cms/resource_photo/26/2928426_image2_1.jpg,박차정 의사 생가,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00035,우장춘 기념관,review_required,1,0,high,2928433,https://tong.visitkorea.or.kr/cms/resource_photo/33/2928433_image2_1.jpg,우장춘기념관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00036,누리바라기전망대,review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00037,"최민식갤러리(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00038,수영사적공원,review_required,15,0,high,2928180,https://tong.visitkorea.or.kr/cms/resource_photo/80/2928180_image2_1.jpg,수영사적공원,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00039,부산기상관측소,review_required,5,0,high,2927784,https://tong.visitkorea.or.kr/cms/resource_photo/84/2927784_image2_1.jpg,부산기상관측소,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00040,"철새와 함께하는 아름다운 문화의 향연, 을숙도(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00041,부산시청자미디어센터,review_required,1,0,high,2928065,https://tong.visitkorea.or.kr/cms/resource_photo/65/2928065_image2_1.jpg,부산시청자미디어센터,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00042,"구포어린이교통공원(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00043,부산솔로몬로파크,review_required,1,0,high,2928795,https://tong.visitkorea.or.kr/cms/resource_photo/95/2928795_image2_1.jpg,부산솔로몬로파크,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00044,부산어촌민속관,review_required,1,0,high,2928796,https://tong.visitkorea.or.kr/cms/resource_photo/96/2928796_image2_1.jpg,부산어촌민속관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00045,삼락생태공원,review_required,0,4,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00046,"암남공원, 송도해안볼레길",review_required,0,3,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00047,장림포구 (부네치아),review_required,0,29,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00048,가덕도,review_required,0,2,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
