candidate_id,title_ko,category,image_url,image_source_domain,prior_vb_rights_class,rights_status,classification_method,rights_basis,blocked_reason,review_reason
busan-A-00062,감천문화마을,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229142305006_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00063,다대포 해수욕장,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229143230630_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00064,부산영화체험박물관/씨네뮤지엄,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00065,"용두산공원(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229145728609_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00066,영도다리,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150331682_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00067,"중앙공원, 민주공원",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150845004_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00068,"황령산 전망쉼터(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229151710512_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00069,F1963,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229152254942_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00070,해운대,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229153530528_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00071,광안리해수욕장,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229160529389_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00072,금정산,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230180640227_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00073,금강공원&식물원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230181126685_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00074,"범어사 (한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230190101989_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00075,동래읍성,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230194923757_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00076,상해거리,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230203235198_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00077,"이중섭문화거리(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205059771_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00078,"복천박물관, 복천동고분군",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205640434_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00079,벡스코,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230210019945_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00080,"영화의 전당(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230210358362_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00081,"장안사(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231091948765_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00082,백양산,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231092729834_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00083,성지곡수원지,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231100856743_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00084,"장산(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231101745599_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00085,석불사,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231102223413_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00086,"동래향교, 기장향교(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231111302355_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00087,"가덕도 연대봉(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231180337567_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00088,승학산 억새평원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231181104098_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00089,"대룡마을(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231184354051_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
